Date,Instagram
2009-04,0.0
2009-05,0.0
2009-06,0.0
2009-07,0.0
2009-08,0.0
2009-09,0.0
2009-10,0.0
2009-11,0.0
2009-12,0.0
2010-01,0.0
2010-02,0.0
2010-03,0.0
2010-04,0.0
2010-05,0.0
2010-06,0.0
2010-07,0.0
2010-08,0.0
2010-09,0.0
2010-10,0.0
2010-11,0.0
2010-12,0.0
2011-01,0.0
2011-02,0.0
2011-03,0.0
2011-04,0.0
2011-05,0.0
2011-06,0.0
2011-07,0.0
2011-08,0.0
2011-09,0.0
2011-10,0.0
2011-11,0.0
2011-12,0.0
2012-01,0.0
2012-02,0.0
2012-03,0.0
2012-04,0.0
2012-05,0.0
2012-06,0.0
2012-07,0.0
2012-08,0.0
2012-09,0.0
2012-10,0.0
2012-11,0.0
2012-12,0.0
2013-01,0.0
2013-02,0.0
2013-03,0.0
2013-04,0.0
2013-05,0.0
2013-06,0.0
2013-07,0.0
2013-08,0.0
2013-09,0.0
2013-10,0.0
2013-11,0.0
2013-12,0.0
2014-01,0.0
2014-02,0.0
2014-03,0.0
2014-04,0.0
2014-05,0.0
2014-06,0.0
2014-07,0.0
2014-08,0.0
2014-09,0.0
2014-10,0.0
2014-11,0.0
2014-12,0.0
2015-01,0.0
2015-02,0.0
2015-03,0.0
2015-04,0.0
2015-05,0.0
2015-06,0.0
2015-07,0.0
2015-08,0.0
2015-09,0.0
2015-10,0.0
2015-11,0.0
2015-12,0.0
2016-01,0.0
2016-02,0.0
2016-03,0.0
2016-04,0.0
2016-05,0.0
2016-06,0.0
2016-07,0.0
2016-08,0.0
2016-09,0.0
2016-10,0.07
2016-11,0.38
2016-12,0.51
2017-01,0.48
2017-02,0.43
2017-03,0.46
2017-04,0.5
2017-05,0.37
2017-06,0.49
2017-07,0.89
2017-08,0.89
2017-09,1.07
2017-10,1.08
2017-11,1.59
2017-12,1.47
2018-01,1.7
2018-02,1.84
2018-03,2.23
2018-04,1.64
2018-05,1.8
2018-06,2.16
2018-07,2.41
2018-08,2.37
2018-09,1.94
2018-10,1.88
2018-11,1.94
2018-12,1.77
2019-01,1.69
2019-02,1.56
2019-03,2.21
2019-04,2.21
2019-05,1.81
2019-06,1.43
2019-07,1.75
2019-08,1.58
2019-09,2.42
2019-10,5.74
2019-11,6.5
2019-12,7.05
2020-01,8.4
2020-02,8.9
2020-03,8.54
2020-04,8.73
2020-05,1.48
2020-06,1.2
2020-07,1.35
2020-08,1.42
2020-09,1.58
2020-10,1.53
2020-11,2.01
2020-12,2.25
2021-01,2.56
2021-02,2.93
2021-03,2.94
2021-04,3.71
2021-05,3.98
2021-06,4.28
2021-07,3.72
2021-08,3.41
2021-09,3.99
2021-10,4.3
2021-11,4.5
2021-12,4.06
2022-01,4.59
2022-02,5.28
2022-03,6.19
2022-04,5.69
2022-05,5.31
2022-06,6.11
2022-07,6.53
2022-08,7.01
2022-09,7.51
2022-10,8.18
2022-11,9.65
2022-12,10.57
2023-01,9.62
2023-02,9.74
2023-03,11.04
2023-04,11.94
2023-05,12.63
2023-06,13.93
2023-07,14.32
2023-08,13.05
2023-09,13.31
2023-10,12.05
2023-11,11.38
2023-12,10.03
2024-01,9.71
2024-02,9.95
2024-03,11.74
2024-04,11.59
2024-05,11.55
2024-06,10.84
2024-07,11.77
2024-08,11.34
2024-09,11.36
2024-10,10.93
2024-11,11.71
2024-12,13.0
2025-01,12.35
2025-02,10.87
2025-03,9.24
2009-03,0.0
