Entity,Year,Male_Prevalence,Female_Prevalence
Afghanistan,2016,3.751739257,6.229494798
Afghanistan,2017,3.760728041,6.23573618
Afghanistan,2018,3.762916354,6.264204374
Afghanistan,2019,3.762132888,6.319220121
African Region (WHO),2016,2.973541708,4.164971387
African Region (WHO),2017,2.979373083,4.174057516
African Region (WHO),2018,2.98358801,4.16825381
African Region (WHO),2019,2.987792522,4.151920169
Albania,2016,2.970033836,5.138949117
Albania,2017,2.977308604,5.12504502
Albania,2018,2.978201183,5.142671732
Albania,2019,2.976034346,5.185245734
Algeria,2016,3.772315431,6.229648657
Algeria,2017,3.769272801,6.250242188
Algeria,2018,3.774590405,6.275782903
Algeria,2019,3.784882847,6.315693163
American Samoa,2016,3.241048397,5.197646834
American Samoa,2017,3.217248275,5.200644036
American Samoa,2018,3.223809807,5.207990185
American Samoa,2019,3.247338384,5.221572014
Andorra,2016,4.481886494,7.538583905
Andorra,2017,4.494183515,7.525100449
Andorra,2018,4.49114187,7.529391636
Andorra,2019,4.479693188,7.541907282
Angola,2016,3.369399972,4.621088327
Angola,2017,3.367427634,4.620916167
Angola,2018,3.37087301,4.60119932
Angola,2019,3.378410575,4.559808738
Antigua and Barbuda,2016,3.369114951,5.615089209
Antigua and Barbuda,2017,3.36202773,5.620020035
Antigua and Barbuda,2018,3.36349337,5.626329392
Antigua and Barbuda,2019,3.368237077,5.634684759
Argentina,2016,3.869519795,6.671518734
Argentina,2017,3.884129871,6.683666782
Argentina,2018,3.886553747,6.690286522
Argentina,2019,3.882857336,6.696075549
Armenia,2016,2.545071535,4.081060899
Armenia,2017,2.544086029,4.083751703
Armenia,2018,2.548002769,4.08526569
Armenia,2019,2.555461619,4.086357173
Australia,2016,4.675394516,7.600173181
Australia,2017,4.977794182,7.560239447
Australia,2018,5.023872954,7.588522679
Australia,2019,5.073740894,7.667241165
Austria,2016,4.770313763,8.249343383
Austria,2017,4.801945672,8.269565097
Austria,2018,4.797306928,8.28982042
Austria,2019,4.775297826,8.319233835
Azerbaijan,2016,2.031213134,3.231624281
Azerbaijan,2017,2.024159965,3.220925793
Azerbaijan,2018,2.02493748,3.21691231
Azerbaijan,2019,2.029067997,3.213802327
Bahamas,2016,3.371237938,5.617467502
Bahamas,2017,3.357842909,5.636270022
Bahamas,2018,3.361683297,5.642515907
Bahamas,2019,3.37392767,5.643517185
Bahrain,2016,4.058034351,6.694386223
Bahrain,2017,4.039668424,6.674404137
Bahrain,2018,4.041437193,6.692194287
Bahrain,2019,4.05281892,6.739274798
Bangladesh,2016,2.817393241,3.657779923
Bangladesh,2017,2.830241703,3.652244376
Bangladesh,2018,2.834431072,3.662665848
Bangladesh,2019,2.836344941,3.68635084
Barbados,2016,3.376561127,5.636876935
Barbados,2017,3.371091592,5.647988205
Barbados,2018,3.374792674,5.64621564
Barbados,2019,3.384432462,5.635771926
Belarus,2016,2.838292108,4.547948621
Belarus,2017,2.836790245,4.541793186
Belarus,2018,2.840134965,4.542044657
Belarus,2019,2.847340359,4.545347497
Belgium,2016,4.655159601,6.495316526
Belgium,2017,4.671436439,6.461751274
Belgium,2018,4.657395907,6.44498325
Belgium,2019,4.619117837,6.430417518
Belize,2016,3.257041279,5.40665334
Belize,2017,3.249388726,5.417106527
Belize,2018,3.253852223,5.425413295
Belize,2019,3.265105475,5.435952968
Benin,2016,2.829657756,3.688171294
Benin,2017,2.843961437,3.7007592
Benin,2018,2.851411503,3.700496749
Benin,2019,2.857647808,3.692255618
Bermuda,2016,3.42017427,5.669120657
Bermuda,2017,3.410611247,5.679494157
Bermuda,2018,3.413000151,5.685458837
Bermuda,2019,3.421205282,5.691266971
Bhutan,2016,2.872511177,3.864601224
Bhutan,2017,2.875022369,3.857545502
Bhutan,2018,2.880267368,3.869035918
Bhutan,2019,2.88979689,3.895550204
Bolivia,2016,4.457556874,7.441272522
Bolivia,2017,4.456531418,7.439744448
Bolivia,2018,4.45562241,7.452638185
Bolivia,2019,4.45140019,7.477627004
Bosnia and Herzegovina,2016,2.744175605,4.748278116
Bosnia and Herzegovina,2017,2.743317172,4.7409327
Bosnia and Herzegovina,2018,2.741556281,4.746970719
Bosnia and Herzegovina,2019,2.73735107,4.763454864
Botswana,2016,3.180065572,4.231371007
Botswana,2017,3.179948863,4.242484806
Botswana,2018,3.180544354,4.225747056
Botswana,2019,3.180561367,4.185496681
Brazil,2016,5.386612392,9.909398916
Brazil,2017,5.389759586,9.925854209
Brazil,2018,5.388740065,9.944508225
Brazil,2019,5.384055055,9.973767009
Brunei,2016,2.339625233,3.867757438
Brunei,2017,2.345504678,3.85248458
Brunei,2018,2.346156995,3.854334347
Brunei,2019,2.343554178,3.863851362
Bulgaria,2016,2.636549835,4.564786523
Bulgaria,2017,2.641050706,4.560928344
Bulgaria,2018,2.637996952,4.57068404
Bulgaria,2019,2.629184814,4.593064955
Burkina Faso,2016,2.710965975,3.560876368
Burkina Faso,2017,2.713824071,3.574232426
Burkina Faso,2018,2.716523809,3.567856343
Burkina Faso,2019,2.720037474,3.547260757
Burundi,2016,3.028708547,4.361631031
Burundi,2017,3.037546216,4.376279063
Burundi,2018,3.047646042,4.370907008
Burundi,2019,3.062262004,4.352723289
Cambodia,2016,3.306122661,5.911674385
Cambodia,2017,3.301004176,5.925274602
Cambodia,2018,3.31414492,5.933333526
Cambodia,2019,3.341804245,5.942657662
Cameroon,2016,2.847918314,3.704918892
Cameroon,2017,2.848822964,3.718649612
Cameroon,2018,2.847463025,3.7173917
Cameroon,2019,2.842484339,3.706209596
Canada,2016,3.688606744,5.840910211
Canada,2017,3.692562856,5.843916296
Canada,2018,3.683240574,5.831328071
Canada,2019,3.661709518,5.804841979
Cape Verde,2016,2.820853183,3.609076134
Cape Verde,2017,2.820826039,3.6218484
Cape Verde,2018,2.825659759,3.617566419
Cape Verde,2019,2.833895973,3.601486724
Central African Republic,2016,3.70020248,5.10861734
Central African Republic,2017,3.71933112,5.130352554
Central African Republic,2018,3.723842544,5.12409455
Central African Republic,2019,3.722330698,5.098769914
Chad,2016,2.959332722,3.864907488
Chad,2017,2.970679662,3.882493718
Chad,2018,2.971351002,3.889139503
Chad,2019,2.966621865,3.891525468
Chile,2016,3.164585048,8.554778763
Chile,2017,3.166766342,8.529188083
Chile,2018,3.160659668,8.518859975
Chile,2019,3.14580825,8.509262982
China,2016,2.654495155,4.117500845
China,2017,2.710314346,4.185892786
China,2018,2.706086,4.17374162
China,2019,2.66421969,4.121517337
Colombia,2016,3.715314197,5.399738032
Colombia,2017,3.993743392,5.81509544
Colombia,2018,4.016558084,5.844558433
Colombia,2019,4.023374628,5.847971545
Comoros,2016,3.007679623,4.277463715
Comoros,2017,3.023927255,4.298041628
Comoros,2018,3.035342549,4.295468063
Comoros,2019,3.046847892,4.280210763
Congo,2016,3.220153706,4.378355271
Congo,2017,3.225033161,4.390508957
Congo,2018,3.228258277,4.382575172
Congo,2019,3.231324326,4.359701069
Cook Islands,2016,3.249200104,5.203307769
Cook Islands,2017,3.232816028,5.206013497
Cook Islands,2018,3.241993234,5.217928579
Cook Islands,2019,3.267663062,5.240609008
Costa Rica,2016,3.367470236,5.424704042
Costa Rica,2017,3.375558442,5.427003071
Costa Rica,2018,3.37976512,5.429573002
Costa Rica,2019,3.382344588,5.431788628
Cote d'Ivoire,2016,2.862506931,3.740133596
Cote d'Ivoire,2017,2.863225087,3.742357457
Cote d'Ivoire,2018,2.8702988,3.743679209
Cote d'Ivoire,2019,2.882751259,3.743905838
Croatia,2016,2.794738356,4.834444167
Croatia,2017,2.805111953,4.8410282
Croatia,2018,2.804144343,4.85594981
Croatia,2019,2.798529577,4.884191852
Cuba,2016,3.362707408,5.574140993
Cuba,2017,3.34436901,5.584044013
Cuba,2018,3.354800026,5.585685995
Cuba,2019,3.384136631,5.582863891
Cyprus,2016,5.168933903,8.797154276
Cyprus,2017,5.159049421,8.752952004
Cyprus,2018,5.153501411,8.74581635
Cyprus,2019,5.145962797,8.752630447
Czechia,2016,2.501777283,4.276709106
Czechia,2017,2.503717129,4.254842121
Czechia,2018,2.499636209,4.262335807
Czechia,2019,2.489147374,4.287182091
Democratic Republic of Congo,2016,3.242178326,4.442705564
Democratic Republic of Congo,2017,3.248047551,4.448645806
Democratic Republic of Congo,2018,3.252586479,4.438337899
Democratic Republic of Congo,2019,3.257899452,4.413055297
Denmark,2016,4.093774187,6.763645599
Denmark,2017,4.099533902,6.748311087
Denmark,2018,4.078433653,6.725509107
Denmark,2019,4.030214607,6.683709179
Djibouti,2016,2.82403818,3.994075237
Djibouti,2017,2.823731206,4.002453722
Djibouti,2018,2.832558658,3.996361153
Djibouti,2019,2.850012612,3.979306635
Dominica,2016,3.380563939,5.638638076
Dominica,2017,3.3729343,5.642186737
Dominica,2018,3.373502074,5.64346618
Dominica,2019,3.377676304,5.642860622
Dominican Republic,2016,3.501285982,5.872716391
Dominican Republic,2017,3.483054732,5.883073293
Dominican Republic,2018,3.490560871,5.888271299
Dominican Republic,2019,3.512319074,5.892106432
East Asia & Pacific (WB),2016,2.616763962,4.219095453
East Asia & Pacific (WB),2017,2.656682129,4.262678878
East Asia & Pacific (WB),2018,2.660005354,4.264943962
East Asia & Pacific (WB),2019,2.643864273,4.2469815
Eastern Mediterranean Region (WHO),2016,3.784876378,6.015365915
Eastern Mediterranean Region (WHO),2017,3.757835649,5.972591842
Eastern Mediterranean Region (WHO),2018,3.753256312,5.977082391
Eastern Mediterranean Region (WHO),2019,3.751016149,6.006059109
Ecuador,2016,4.144340195,6.789740356
Ecuador,2017,4.145656063,6.785099075
Ecuador,2018,4.148615754,6.7909186
Ecuador,2019,4.151094628,6.803399788
Egypt,2016,3.679949832,5.912835495
Egypt,2017,3.679675563,5.911334492
Egypt,2018,3.685784341,5.934348819
Egypt,2019,3.696401722,5.980737673
El Salvador,2016,3.453635752,5.600754687
El Salvador,2017,3.457629989,5.601921145
El Salvador,2018,3.462186592,5.603310261
El Salvador,2019,3.46708738,5.603890845
England,2016,3.816096805,5.856898935
England,2017,3.811296786,5.840793537
England,2018,3.816816611,5.840328798
England,2019,3.830778371,5.846048289
Equatorial Guinea,2016,3.293843829,4.485791755
Equatorial Guinea,2017,3.3069916,4.491016918
Equatorial Guinea,2018,3.310671948,4.481934106
Equatorial Guinea,2019,3.311602256,4.460246833
